customer_id,signup_date,segment,region,acquisition_channel
C0006120,2023-01-01,Mid-Market,LATAM,social_ads
C0005482,2023-01-01,Mid-Market,LATAM,organic
C0003503,2023-01-02,SMB,LATAM,paid_search
C0003151,2023-01-02,SMB,North America,paid_search
C0001158,2023-01-02,Mid-Market,APAC,organic
C0001837,2023-01-02,Mid-Market,LATAM,social_ads
C0000744,2023-01-03,Enterprise,APAC,referral
C0002880,2023-01-03,Startup,North America,referral
C0007031,2023-01-03,Mid-Market,North America,partners
C0008035,2023-01-03,Startup,APAC,social_ads
C0005540,2023-01-03,Mid-Market,APAC,organic
C0003453,2023-01-03,SMB,EMEA,organic
C0004642,2023-01-03,SMB,EMEA,organic
C0007009,2023-01-03,Mid-Market,North America,referral
C0001221,2023-01-03,Startup,EMEA,organic
C0004553,2023-01-04,SMB,APAC,paid_search
C0000741,2023-01-04,Mid-Market,EMEA,referral
C0008584,2023-01-05,Startup,LATAM,social_ads
C0003877,2023-01-05,Mid-Market,LATAM,organic
C0003492,2023-01-06,SMB,LATAM,paid_search
C0004419,2023-01-06,Startup,EMEA,paid_search
C0006403,2023-01-06,Startup,North America,paid_search
C0008015,2023-01-06,SMB,LATAM,organic
C0008299,2023-01-06,Startup,APAC,social_ads
C0007636,2023-01-06,Mid-Market,LATAM,social_ads
C0008959,2023-01-06,Mid-Market,North America,organic
C0000998,2023-01-06,SMB,North America,paid_search
C0002731,2023-01-07,Mid-Market,EMEA,partners
C0004315,2023-01-07,SMB,EMEA,paid_search
C0006623,2023-01-07,Startup,LATAM,social_ads
C0007466,2023-01-08,SMB,North America,organic
C0005183,2023-01-08,SMB,EMEA,referral
C0006587,2023-01-08,Startup,APAC,paid_search
C0008715,2023-01-09,SMB,North America,referral
C0007766,2023-01-09,SMB,EMEA,email
C0006159,2023-01-09,SMB,North America,referral
C0003207,2023-01-09,Startup,EMEA,social_ads
C0005156,2023-01-09,Mid-Market,EMEA,organic
C0002585,2023-01-09,Mid-Market,APAC,partners
C0005178,2023-01-10,SMB,North America,organic
C0000811,2023-01-10,SMB,EMEA,social_ads
C0003606,2023-01-10,Mid-Market,EMEA,organic
