date,acquisition_channel,spend
2023-01-01,email,224.86
2023-01-01,organic,149.1
2023-01-01,paid_search,1158.83
2023-01-01,partners,519.7
2023-01-01,referral,356.01
2023-01-01,social_ads,1291.66
2023-01-02,email,303.69
2023-01-02,organic,166.95
2023-01-02,paid_search,1460.38
2023-01-02,partners,409.06
2023-01-02,referral,393.61
2023-01-02,social_ads,1053.0
2023-01-03,email,263.08
2023-01-03,organic,202.96
2023-01-03,paid_search,1327.98
2023-01-03,partners,437.28
2023-01-03,referral,366.35
2023-01-03,social_ads,1577.96
2023-01-04,email,260.89
2023-01-04,organic,170.58
2023-01-04,paid_search,1648.59
2023-01-04,partners,458.9
2023-01-04,referral,326.19
2023-01-04,social_ads,1053.42
2023-01-05,email,268.76
2023-01-05,organic,201.08
2023-01-05,paid_search,1613.36
2023-01-05,partners,400.22
2023-01-05,referral,315.51
2023-01-05,social_ads,1278.51
2023-01-06,email,290.68
2023-01-06,organic,150.83
2023-01-06,paid_search,1258.9
2023-01-06,partners,429.12
2023-01-06,referral,409.52
2023-01-06,social_ads,1443.89
2023-01-07,email,285.12
2023-01-07,organic,153.26
2023-01-07,paid_search,1013.34
2023-01-07,partners,439.99
2023-01-07,referral,301.48
2023-01-07,social_ads,1014.49
2023-01-08,email,260.5
2023-01-08,organic,155.3
2023-01-08,paid_search,1144.46
2023-01-08,partners,436.19
2023-01-08,referral,244.36
2023-01-08,social_ads,1083.08
2023-01-09,email,284.16
2023-01-09,organic,186.07
2023-01-09,paid_search,1258.56
2023-01-09,partners,381.76
2023-01-09,referral,370.55
2023-01-09,social_ads,1399.29
2023-01-10,email,249.04
2023-01-10,organic,206.95
2023-01-10,paid_search,1373.87
2023-01-10,partners,550.35
2023-01-10,referral,346.87
2023-01-10,social_ads,1424.69
2023-01-11,email,341.95
2023-01-11,organic,177.35
2023-01-11,paid_search,1703.46
2023-01-11,partners,521.91
2023-01-11,referral,385.44
2023-01-11,social_ads,1431.26
2023-01-12,email,307.36
2023-01-12,organic,226.16
2023-01-12,paid_search,1331.99
2023-01-12,partners,478.04
2023-01-12,referral,350.8
2023-01-12,social_ads,1186.33
2023-01-13,email,290.01
2023-01-13,organic,186.75
2023-01-13,paid_search,1489.06
2023-01-13,partners,496.69
2023-01-13,referral,340.9
2023-01-13,social_ads,1197.97
2023-01-14,email,251.03
2023-01-14,organic,159.88
2023-01-14,paid_search,1366.81
2023-01-14,partners,403.96
2023-01-14,referral,256.06
2023-01-14,social_ads,1192.47
2023-01-15,email,250.14
2023-01-15,organic,157.85
2023-01-15,paid_search,1350.51
2023-01-15,partners,416.45
2023-01-15,referral,285.8
2023-01-15,social_ads,1025.01
2023-01-16,email,228.14
2023-01-16,organic,176.93
2023-01-16,paid_search,1324.7
2023-01-16,partners,439.24
2023-01-16,referral,388.82
2023-01-16,social_ads,1240.85
2023-01-17,email,279.88
2023-01-17,organic,179.21
2023-01-17,paid_search,1474.8
2023-01-17,partners,428.46
2023-01-17,referral,322.36
2023-01-17,social_ads,1254.43
2023-01-18,email,316.85
2023-01-18,organic,216.91
2023-01-18,paid_search,1246.06
2023-01-18,partners,403.8
2023-01-18,referral,347.17
2023-01-18,social_ads,1466.6
2023-01-19,email,307.21
2023-01-19,organic,191.04
2023-01-19,paid_search,1400.39
2023-01-19,partners,511.09
2023-01-19,referral,328.0
2023-01-19,social_ads,1134.68
2023-01-20,email,302.89
2023-01-20,organic,160.16
2023-01-20,paid_search,1676.29
2023-01-20,partners,428.15
2023-01-20,referral,364.37
2023-01-20,social_ads,1321.14
2023-01-21,email,219.93
2023-01-21,organic,163.08
2023-01-21,paid_search,1030.5
2023-01-21,partners,432.15
2023-01-21,referral,291.59
2023-01-21,social_ads,1105.04
2023-01-22,email,231.4
2023-01-22,organic,158.78
2023-01-22,paid_search,1418.87
2023-01-22,partners,355.68
2023-01-22,referral,270.77
2023-01-22,social_ads,1150.04
2023-01-23,email,253.69
2023-01-23,organic,213.71
2023-01-23,paid_search,1336.49
2023-01-23,partners,453.88
2023-01-23,referral,298.68
2023-01-23,social_ads,1108.46
2023-01-24,email,322.86
2023-01-24,organic,218.45
2023-01-24,paid_search,1538.57
2023-01-24,partners,555.27
2023-01-24,referral,317.25
2023-01-24,social_ads,1153.26
2023-01-25,email,227.59
2023-01-25,organic,182.22
2023-01-25,paid_search,1187.95
2023-01-25,partners,301.29
2023-01-25,referral,355.69
2023-01-25,social_ads,1200.03
2023-01-26,email,315.12
2023-01-26,organic,222.18
2023-01-26,paid_search,1327.23
2023-01-26,partners,316.62
2023-01-26,referral,384.16
2023-01-26,social_ads,1246.57
2023-01-27,email,207.81
2023-01-27,organic,227.04
2023-01-27,paid_search,1271.85
2023-01-27,partners,563.26
2023-01-27,referral,383.72
2023-01-27,social_ads,1305.18
2023-01-28,email,301.75
2023-01-28,organic,106.34
2023-01-28,paid_search,1392.45
2023-01-28,partners,414.28
2023-01-28,referral,278.73
2023-01-28,social_ads,987.04
2023-01-29,email,243.49
2023-01-29,organic,167.14
2023-01-29,paid_search,1182.5
2023-01-29,partners,507.35
2023-01-29,referral,297.29
2023-01-29,social_ads,1146.11
2023-01-30,email,283.73
2023-01-30,organic,176.13
2023-01-30,paid_search,1378.55
2023-01-30,partners,486.67
2023-01-30,referral,385.16
2023-01-30,social_ads,1102.14
2023-01-31,email,273.46
2023-01-31,organic,184.92
2023-01-31,paid_search,1506.83
2023-01-31,partners,344.62
2023-01-31,referral,328.13
2023-01-31,social_ads,1558.11
2023-02-01,email,286.52
2023-02-01,organic,210.37
2023-02-01,paid_search,1783.76
2023-02-01,partners,424.33
2023-02-01,referral,341.5
2023-02-01,social_ads,1384.95
2023-02-02,email,258.77
2023-02-02,organic,183.47
2023-02-02,paid_search,1485.81
2023-02-02,partners,438.14
2023-02-02,referral,410.28
2023-02-02,social_ads,1084.51
2023-02-03,email,270.98
2023-02-03,organic,197.48
2023-02-03,paid_search,1753.99
2023-02-03,partners,490.48
2023-02-03,referral,367.83
2023-02-03,social_ads,1572.24
2023-02-04,email,226.8
2023-02-04,organic,130.69
2023-02-04,paid_search,1091.13
2023-02-04,partners,366.68
2023-02-04,referral,284.7
2023-02-04,social_ads,1064.06
2023-02-05,email,248.97
2023-02-05,organic,130.91
2023-02-05,paid_search,1249.3
2023-02-05,partners,379.68
2023-02-05,referral,349.6
2023-02-05,social_ads,996.05
2023-02-06,email,281.48
2023-02-06,organic,197.54
2023-02-06,paid_search,1295.09
2023-02-06,partners,571.46
2023-02-06,referral,322.97
2023-02-06,social_ads,1264.21
2023-02-07,email,305.4
2023-02-07,organic,185.46
2023-02-07,paid_search,1295.21
2023-02-07,partners,535.58
2023-02-07,referral,373.77
2023-02-07,social_ads,1255.09
2023-02-08,email,302.44
2023-02-08,organic,178.87
2023-02-08,paid_search,1519.99
2023-02-08,partners,457.66
2023-02-08,referral,316.73
2023-02-08,social_ads,1449.55
2023-02-09,email,293.68
2023-02-09,organic,209.27
2023-02-09,paid_search,1406.29
2023-02-09,partners,488.9
2023-02-09,referral,341.31
2023-02-09,social_ads,1328.81
2023-02-10,email,312.72
2023-02-10,organic,180.44
2023-02-10,paid_search,1309.92
2023-02-10,partners,433.39
2023-02-10,referral,299.68
2023-02-10,social_ads,1394.74
2023-02-11,email,281.54
2023-02-11,organic,167.17
2023-02-11,paid_search,1167.56
2023-02-11,partners,399.18
2023-02-11,referral,258.91
2023-02-11,social_ads,1163.12
2023-02-12,email,205.41
2023-02-12,organic,156.12
2023-02-12,paid_search,1169.29
2023-02-12,partners,432.54
2023-02-12,referral,299.74
2023-02-12,social_ads,1000.44
2023-02-13,email,191.06
2023-02-13,organic,185.71
2023-02-13,paid_search,1594.22
2023-02-13,partners,448.49
2023-02-13,referral,294.27
2023-02-13,social_ads,1425.76
2023-02-14,email,286.05
2023-02-14,organic,223.33
2023-02-14,paid_search,1433.95
