transaction_id,customer_id,transaction_date,revenue,cost,product_type
T000000119,C0008035,2023-01-03,288.21,223.08,Add-on
T000000010,C0003151,2023-01-04,48.62,24.99,Add-on
T000000514,C0006159,2023-01-09,39.57,32.1,Premium
T000000678,C0001617,2023-01-10,583.08,457.65,Core
T000000637,C0004773,2023-01-11,655.24,384.1,Core
T000000517,C0006159,2023-01-12,87.67,69.7,Services
T000000679,C0001617,2023-01-12,235.31,147.7,Add-on
T000000186,C0004642,2023-01-12,45.37,22.5,Core
T000000106,C0007031,2023-01-14,195.57,174.31,Services
T000000720,C0000775,2023-01-14,470.29,350.0,Premium
T000000721,C0000775,2023-01-15,162.04,85.01,Core
T000000105,C0007031,2023-01-15,444.52,290.98,Core
T000000818,C0007013,2023-01-15,138.49,71.4,Core
T000000599,C0003606,2023-01-15,1341.53,866.13,Premium
T000000907,C0004775,2023-01-15,340.02,174.67,Add-on
T000000906,C0004775,2023-01-15,188.36,103.1,Core
T000000006,C0005482,2023-01-15,188.76,123.07,Premium
T000000864,C0007176,2023-01-15,42.46,23.45,Core
T000000484,C0008715,2023-01-16,305.04,168.87,Core
T000000420,C0002731,2023-01-16,504.17,351.49,Premium
T000000315,C0008015,2023-01-17,362.8,213.06,Core
T000001010,C0002922,2023-01-17,188.74,112.17,Core
T000000716,C0003179,2023-01-17,82.51,59.27,Core
T000000870,C0007203,2023-01-17,115.13,73.8,Core
T000000996,C0008542,2023-01-18,829.31,726.98,Services
T000000995,C0008542,2023-01-18,197.48,123.76,Core
T000000780,C0003038,2023-01-18,148.14,72.26,Core
T000000600,C0003606,2023-01-18,90.13,42.55,Add-on
T000000516,C0006159,2023-01-18,182.78,80.0,Core
T000000598,C0003606,2023-01-19,2611.72,1602.71,Premium
T000000341,C0008959,2023-01-19,475.12,359.19,Premium
T000000738,C0002299,2023-01-20,6451.62,4181.09,Premium
T000000011,C0003151,2023-01-20,519.26,338.22,Core
T000000785,C0000423,2023-01-20,68.65,33.2,Core
T000000568,C0002585,2023-01-21,267.4,146.07,Add-on
T000000918,C0003463,2023-01-21,458.74,302.06,Core
T000000287,C0003877,2023-01-21,46.0,29.62,Premium
T000000007,C0003503,2023-01-21,25.3,14.9,Core
T000000567,C0002585,2023-01-22,610.47,396.41,Core
T000000935,C0003439,2023-01-22,171.55,84.67,Add-on
T000000919,C0003463,2023-01-22,363.82,303.87,Premium
T000000737,C0005228,2023-01-22,18.69,15.94,Core
T000000994,C0008542,2023-01-22,196.69,133.03,Core
T000000779,C0003038,2023-01-22,159.83,80.9,Add-on
T000000213,C0007009,2023-01-23,1227.18,919.82,Services
T000000120,C0005540,2023-01-23,103.34,54.28,Add-on
T000000340,C0008959,2023-01-23,127.65,69.0,Core
T000001123,C0005594,2023-01-23,103.8,62.1,Add-on
T000000515,C0006159,2023-01-23,78.65,35.52,Add-on
T000000718,C0007929,2023-01-23,756.38,456.2,Core
T000000784,C0000423,2023-01-23,364.01,168.15,Core
T000000286,C0003877,2023-01-23,323.32,152.05,Add-on
T000000827,C0006042,2023-01-23,31.52,23.26,Premium
T000000309,C0003492,2023-01-23,525.6,316.74,Core
T000000455,C0005183,2023-01-23,163.02,95.92,Core
T000000482,C0008715,2023-01-24,773.96,467.97,Core
T000001054,C0002384,2023-01-24,632.51,344.0,Core
T000000166,C0003453,2023-01-25,212.11,142.03,Premium
T000000781,C0003038,2023-01-25,338.52,196.19,Core
T000000941,C0007122,2023-01-25,11160.37,7539.48,Premium
T000000342,C0008959,2023-01-25,3152.11,2107.25,Services
T000000719,C0000775,2023-01-25,368.95,204.42,Core
T000001232,C0002394,2023-01-26,59.76,33.83,Core
T000001132,C0006610,2023-01-26,14.23,7.68,Core
T000000757,C0001314,2023-01-26,225.8,175.98,Premium
T000001252,C0008693,2023-01-26,387.44,204.97,Core
T000000435,C0007466,2023-01-26,332.39,168.54,Core
T000001233,C0002394,2023-01-27,58.18,46.22,Core
T000000886,C0005451,2023-01-27,30.11,15.58,Core
T000001230,C0002394,2023-01-27,18.15,11.56,Add-on
T000000483,C0008715,2023-01-27,22.93,12.17,Core
T000000888,C0005451,2023-01-27,288.18,159.25,Add-on
T000001315,C0005305,2023-01-27,307.39,202.33,Core
T000000987,C0000052,2023-01-27,315.79,190.16,Core
T000001328,C0004305,2023-01-27,546.18,306.57,Core
T000000314,C0008015,2023-01-27,52.19,22.42,Add-on
T000001124,C0005594,2023-01-27,77.91,38.02,Add-on
T000001456,C0000841,2023-01-28,105.63,49.62,Core
T000001231,C0002394,2023-01-28,46.98,36.78,Add-on
T000000009,C0003151,2023-01-28,125.35,74.95,Core
T000000887,C0005451,2023-01-28,725.08,556.91,Premium
T000001040,C0007575,2023-01-28,487.12,342.21,Premium
T000001251,C0008693,2023-01-28,536.46,354.22,Core
T000000084,C0002880,2023-01-28,84.41,48.49,Core
T000000421,C0002731,2023-01-28,935.94,607.01,Core
T000001222,C0000535,2023-01-29,110.69,61.44,Core
T000001254,C0008693,2023-01-29,120.43,59.82,Add-on
T000001424,C0002539,2023-01-29,211.25,112.16,Core
T000001009,C0002922,2023-01-29,76.69,36.52,Add-on
T000001371,C0001952,2023-01-29,594.61,339.17,Add-on
T000001234,C0004838,2023-01-29,227.92,162.7,Add-on
T000001370,C0001952,2023-01-29,104.16,54.09,Add-on
T000000074,C0000744,2023-01-29,2029.28,1056.11,Add-on
T000001108,C0000766,2023-01-29,45.88,23.35,Add-on
T000001396,C0006625,2023-01-30,409.66,219.46,Core
T000000456,C0005183,2023-01-30,2361.09,1613.36,Services
T000000343,C0008959,2023-01-30,90.08,39.91,Add-on
T000001107,C0000766,2023-01-30,143.55,66.84,Core
T000001457,C0000841,2023-01-30,188.98,87.23,Core
T000001158,C0006013,2023-01-30,2646.61,1687.86,Premium
T000001455,C0000841,2023-01-30,247.8,136.65,Core
T000001398,C0006625,2023-01-30,120.59,75.55,Core
T000001394,C0006625,2023-01-30,235.18,179.26,Premium
T000000908,C0004775,2023-01-30,474.25,239.92,Add-on
T000000518,C0006159,2023-01-30,207.65,149.37,Premium
T000001329,C0004305,2023-01-30,289.57,119.89,Add-on
T000000917,C0004156,2023-01-30,84.89,37.84,Core
T000000778,C0003038,2023-01-30,1519.46,1203.09,Services
T000001242,C0001911,2023-01-30,265.02,150.83,Core
T000001253,C0008693,2023-01-30,81.3,31.9,Add-on
T000001561,C0007392,2023-01-31,26.18,14.48,Add-on
T000001563,C0007392,2023-01-31,598.4,360.77,Core
T000001562,C0007392,2023-01-31,864.33,566.23,Premium
T000001496,C0004222,2023-01-31,1162.41,819.05,Premium
T000001502,C0007974,2023-01-31,106.83,66.72,Add-on
T000001501,C0007974,2023-01-31,51.89,50.06,Services
T000001330,C0004305,2023-01-31,41.55,21.16,Core
T000001397,C0006625,2023-01-31,102.31,90.67,Services
T000001159,C0006013,2023-01-31,499.49,243.02,Add-on
T000001629,C0004418,2023-01-31,58.05,40.98,Core
T000001497,C0004222,2023-01-31,273.61,162.72,Core
T000001628,C0004418,2023-01-31,25.54,15.6,Add-on
T000001395,C0006625,2023-01-31,107.56,72.26,Core
T000000777,C0003038,2023-01-31,225.55,128.2,Core
T000000881,C0005424,2023-01-31,94.75,57.0,Core
T000001564,C0007392,2023-01-31,1089.57,846.98,Services
T000001488,C0000205,2023-02-01,125.19,96.17,Core
T000000950,C0007550,2023-02-01,208.34,150.71,Core
T000000990,C0001101,2023-02-01,157.82,136.6,Services
T000001098,C0005922,2023-02-01,348.36,186.9,Core
T000000911,C0004775,2023-02-01,283.66,179.19,Core
T000001041,C0007575,2023-02-01,518.14,318.45,Core
T000000988,C0000052,2023-02-01,469.49,377.43,Services
T000000012,C0003151,2023-02-01,303.35,204.29,Core
T000001267,C0006496,2023-02-02,481.97,282.03,Core
T000001515,C0002115,2023-02-02,66.0,32.95,Add-on
T000000008,C0003503,2023-02-02,692.17,418.11,Add-on
T000001022,C0006744,2023-02-02,88.77,48.96,Core
T000000595,C0000811,2023-02-03,129.88,82.28,Add-on
