layer,dataset,column,dtype,role,owner,definition,business_use
output,main_analysis_findings,business_interpretation,object,dimension,Analytics Lead,main_analysis_findings.business_interpretation field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,main_analysis_findings,caveats,object,dimension,Analytics Lead,main_analysis_findings.caveats field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,main_analysis_findings,metrics_used,object,dimension,Analytics Lead,main_analysis_findings.metrics_used field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,main_analysis_findings,question,object,dimension,Analytics Lead,main_analysis_findings.question field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,main_analysis_findings,result,object,dimension,Analytics Lead,main_analysis_findings.result field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,main_analysis_findings,section,object,dimension,Analytics Lead,main_analysis_findings.section field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,monthly_revenue_health,active_customers,int64,metric,Analytics Lead,monthly_revenue_health.active_customers field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,monthly_revenue_health,contribution_margin,float64,metric,Analytics Lead,Revenue minus direct cost.,Primary profitability measure for sustainable growth decisions.
output,monthly_revenue_health,contribution_margin_growth_mom,float64,metric,Analytics Lead,monthly_revenue_health.contribution_margin_growth_mom field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,monthly_revenue_health,contribution_margin_pct,float64,metric,Analytics Lead,Contribution margin divided by revenue.,Margin quality signal for trend and segment diagnostics.
output,monthly_revenue_health,cost_growth_mom,float64,metric,Analytics Lead,monthly_revenue_health.cost_growth_mom field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,monthly_revenue_health,month,object,temporal,Analytics Lead,monthly_revenue_health.month field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,monthly_revenue_health,revenue_growth_mom,float64,metric,Analytics Lead,monthly_revenue_health.revenue_growth_mom field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,monthly_revenue_health,total_cost,float64,metric,Analytics Lead,monthly_revenue_health.total_cost field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,monthly_revenue_health,total_revenue,float64,metric,Analytics Lead,monthly_revenue_health.total_revenue field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
output,monthly_revenue_health,transaction_count,int64,metric,Analytics Lead,monthly_revenue_health.transaction_count field in output layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,cohort_table,activity_month,object,temporal,Analytics Engineering,cohort_table.activity_month field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,cohort_table,average_revenue_per_active_customer,float64,metric,Analytics Engineering,cohort_table.average_revenue_per_active_customer field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,cohort_table,cohort_month,object,temporal,Analytics Engineering,cohort_table.cohort_month field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,cohort_table,cohort_revenue,float64,metric,Analytics Engineering,cohort_table.cohort_revenue field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,cohort_table,customers_active,int64,metric,Analytics Engineering,cohort_table.customers_active field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,customer_metrics,acquisition_channel,object,dimension,Analytics Engineering,customer_metrics.acquisition_channel field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,customer_metrics,avg_revenue_per_transaction,float64,metric,Analytics Engineering,customer_metrics.avg_revenue_per_transaction field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,customer_metrics,contribution_margin,float64,metric,Analytics Engineering,Revenue minus direct cost.,Primary profitability measure for sustainable growth decisions.
processed,customer_metrics,contribution_margin_pct,float64,metric,Analytics Engineering,Contribution margin divided by revenue.,Margin quality signal for trend and segment diagnostics.
processed,customer_metrics,customer_id,object,identifier,Analytics Engineering,Unique customer identifier.,Join key across customer and transaction-level views.
processed,customer_metrics,first_transaction_date,object,temporal,Analytics Engineering,customer_metrics.first_transaction_date field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,customer_metrics,last_transaction_date,object,temporal,Analytics Engineering,customer_metrics.last_transaction_date field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,customer_metrics,lifetime_days,int64,metric,Analytics Engineering,customer_metrics.lifetime_days field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
processed,customer_metrics,region,object,dimension,Analytics Engineering,customer_metrics.region field in processed layer.,"Operationalized in profiling, analysis, or dashboarding workflows."
