table_name,column_name,dtype,null_count,null_rate
customers,customer_id,object,0,0.0
customers,signup_date,datetime64[ns],0,0.0
customers,segment,object,0,0.0
customers,region,object,0,0.0
customers,acquisition_channel,object,0,0.0
transactions,transaction_id,object,0,0.0
transactions,customer_id,object,0,0.0
transactions,transaction_date,datetime64[ns],0,0.0
transactions,revenue,float64,0,0.0
transactions,cost,float64,0,0.0
transactions,product_type,object,0,0.0
marketing_spend,date,datetime64[ns],0,0.0
marketing_spend,acquisition_channel,object,0,0.0
marketing_spend,spend,float64,0,0.0
